Player,Caliber,Instagram Followers,Twitter Followers,Reach (Combined Following),Brand,Dates,Type of Activation,Distribution,Additional Notes,Player Fee
Darius Garland,Rising Star,"421k","67k","488,000",ABI,6/6/22,"1 Native Tweet",Twitter,"ULTRA Championship Bottles","$10,000"
Tobias Harris,Vet,"525k","257.7k","782,700",ABI,6/6/22,"1 Native Tweet",Twitter,"ULTRA Championship Bottles","$10,000"
Eric Gordon,Vet,"263k","228.4k","491,400",ABI,6/7/22,"1 Native Tweet",Twitter,"ULTRA Championship Bottles","$10,000"
Kevon Looney,Vet,"353k","83.6k","436,600",ABI,6/23/22,"1 Native Tweet; 1 In-Feed IG",Twitter,"ULTRA Championship Bottles","$25,000"
Nemanja Bjelica,Vet,"145k","44.9k","189,900",ABI,6/21/22,"1 Native Tweet; 1 In-Feed IG",Twitter/IG,"ULTRA Championship Bottles","$15,000"
Mason Plumlee,Vet,"81.5k","(not listed)","81,500",Mountain Dew,7/9/22,"1 hour appearance; 2 Native Tweets",Twitter,"WNBA All Star Dew Zone","$25,000"
Jamal Murray,Rising Star,"981k","303k","1,284,000",B/R Gaming,7/11/22,"1 hour production shoot",Instagram/YouTube/TikTok/Twitter,"Run the Game Challenge","$25,000"
Kyle Kuzma,Vet,"4.9m","1.2m","6.1m",B/R Gaming,7/10/22,"1 hour production shoot",Instagram/YouTube/TikTok/Twitter,"Run the Game Challenge","$25,000"
Gary Payton II,Local Hero,"564k","114.3k","678,300",B/R Gaming,7/11/22,"1 hour production shoot",Instagram/YouTube/TikTok/Twitter,"Run the Game Challenge","$20,000"
Donte DiVincenzo,Rising Star,"102k","(not listed)","102,000",B/R Gaming,7/10/22,"1 hour production shoot",Instagram/YouTube/TikTok/Twitter,"Run the Game Challenge","$20,000"
Jalen Suggs,Rising Star,"547k","45.7k","592,700",B/R Gaming,7/11/22,"1 hour production shoot",Instagram/YouTube/TikTok/Twitter,"Run the Game Challenge","$20,000"
Bradley Beal,All Star,"1.3m","686.6k","(not listed)",ABI,8/12/22,"15-sec selfie video","(not listed)","Internal Mich Ultra NBA Partner Summit","$25,000"
Brandon Ingram,All Star,"2.2m","341.1k","(not listed)",ABI,8/12/22,"15-sec selfie video","(not listed)","Internal Mich Ultra NBA Partner Summit","$25,000"
Boban Marjanovic,Vet,"956k","121.7k","(not listed)",ABI,8/12/22,"15-sec selfie video","(not listed)","Internal Mich Ultra NBA Partner Summit","$15,000"
Domantas Sabonis,All Star,"259k","49.3k","(not listed)",ABI,8/12/22,"15-sec selfie video","(not listed)","Internal Mich Ultra NBA Partner Summit","$20,000"
Royce O'Neale,Vet,"137k","52.7k","189,700",ABI,9/21/22,"2 hour appearance; 1 IG Reel",Instagram,"ULTRA Movement Live","$25,000"
TJ Warren,Vet,"104k","53.5k","157,500",ABI,9/21/22,"2 hour appearance; 1 IG Reel",Instagram,"ULTRA Movement Live","$25,000"
Ja Morant,All Star,"7.8m","2.4m","10.2m",Hasbro,"(date not listed)","(not listed)",Instagram,"Starting Lineup","$400,000"
Jrue Holiday,All Star,"Google","(not listed)","(not listed)","(not listed)",11/16/22,"450 Gives","(not listed)","(not listed)","$20,000"
Mikal Bridges,Rising Star,"2K","(not listed)","(not listed)","(not listed)",11/16/22,"450 Gives","(not listed)","(not listed)","$40,000"
Austin Reaves,Hometown Hero,"287k","(not listed)","(not listed)",ABI,12/13/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$10,000"
Isaiah Hartenstein,Vet,"62.6k","(not listed)","(not listed)",ABI,12/12/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$5,000"
Khris Middleton,All Star,"403k","(not listed)","(not listed)",ABI,12/12/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$20,000"
Victor Oladipo,Vet,"1.4m","(not listed)","(not listed)",ABI,12/16/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$20,000"
JaVale McGee,Vet,"1.7m","(not listed)","(not listed)",ABI,12/13/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$25,000"
Boban Marjanovic,Vet,"961k","(not listed)","(not listed)",ABI,12/13/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$20,000"
Josh Richardson,Vet,"272k","(not listed)","(not listed)",ABI,12/13/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$10,000"
Andrew Wiggins,All Star,"2.1m","(not listed)","(not listed)",ABI,12/12/22,"1 In-Feed Post",Instagram,"Ultra Team Cans","$25,000"
